#20110221
AD|OSO Sekuritas Indonesia||
AF|Harita Kencana Sekuritas||
AG|Kiwoom Sekuritas Indonesia||
AH|Shinhan Sekuritas Indonesia||
AI|UOB Kay Hian Sekuritas||
AK|UBS Sekuritas Indonesia||
AN|Wanteg Sekuritas||
AO|ERDIKHA ELIT SEKURITAS||
AP|Pacific Sekuritas Indonesia||
AR|Binaartha Sekuritas||
AT|Phintraco Sekuritas||
AY|FINAN CORPINDO NUSA||
AZ|Sucor Sekuritas||
BB|Verdhana Sekuritas Indonesia||
BD|Indo Mitra Sekuritas||
BF|Inti Fikasa Sekuritas||
BJ|INTI KAPITAL SEKURITAS||
BK|J.P. Morgan Sekuritas Indonesia||
BM|OVERSEAS SECURITIES||
BP|BAPINDO BUMI SEKURITAS||
BQ|Korea Investment and Sekuritas Indonesia||
BR|Trust Sekuritas||
BS|Equity Sekuritas Indonesia||
BW|BNP Paribas Sekuritas Indonesia||
BZ|BATAVIA PROSPERINDO SEKURITAS||
CC|MANDIRI SEKURITAS||
CD|Mega Capital Sekuritas||
CG|Citigroup Sekuritas Indonesia||
CM|OPTIMA KHARYA CAPITAL SEC.||
CP|Valbury Sekuritas Indonesia||
CS|Credit Suisse Sekuritas Indonesia||
DB|Deutsche Sekuritas Indonesia||
DD|Makindo Sekuritas||
DG|TIGA PILAR SEKURITAS||
DH|SINARMAS SEKURITAS||
DM|Masindo Artha Sekuritas||
DP|DBS Vickers Sekuritas Indonesia||
DR|RHB Sekuritas Indonesia||
DS|DINAR SECURITIES||
DU|KAF Sekuritas Indonesia||
DX|Bahana Sekuritas||
EL|Evergreen Sekuritas Indonesia||
EP|MNC Sekuritas||
ES|EKOKAPITAL SEKURITAS||
FG|Nomura Sekuritas Indonesia||
FM|ONIX SEKURITAS||
FO|Forte Global Sekuritas||
FS|Yuanta Sekuritas Indonesia||
FZ|Waterfront Sekuritas Indonesia||
GA|BNC Sekuritas Indonesia||
GI|Mahastra Andalan Sekuritas||
GR|PANIN SEKURITAS Tbk.||
GW|HSBC Sekuritas Indonesia||
HD|KGI Sekuritas Indonesia||
HG|RBS ASIA SECURITIES INDONESIA||
HK|BRENT SECURITIES||
HP|Henan Putihrai Sekuritas||
ID|Anugerah Sekuritas Indonesia||
IF|SAMUEL SEKURITAS INDONESIA||
IH|Pacific 2000 Sekuritas||
II|Danatama Makmur Sekuritas||
IN|INVESTINDO NUSANTARA SEKURITA||
IP|Indosurya Bersinar Sekuritas||
IT|INTI TELADAN SEKURITAS||
IU|Indo Capital Sekuritas||
JB|[CC] BJB Sekuritas Jawa Barat||
KC|MAJAPAHIT SECURITIES Tbk.||
KI|Ciptadana Sekuritas Asia||
KK|Phillip Sekuritas Indonesia||
KS|Kresna Sekuritas||
KW|Corpus Sekuritas Indonesia||
KZ|CLSA Sekuritas Indonesia||
LG|Trimegah Sekuritas Indonesia Tbk.||
LH|Royal Investium Sekuritas||
LK|Recapital Sekuritas Indonesia||
LS|Reliance Sekuritas Indonesia Tbk.||
MG|Semesta Indovest Sekuritas||
MI|Victoria Sekuritas Indonesia||
MK|Ekuator Swarna Sekuritas||
ML|Merrill Lynch Sekuritas Indonesia||
MS|Morgan Stanley Sekuritas Indonesia||
MU|Minna Padi Investama Sekuritas||
NI|BNI Sekuritas||
OD|BRI Danareksa Sekuritas||
OJK|Otoritas Jasa Keuangan||
OK|NET SEKURITAS||
PC|FAC Sekuritas Indonesia||
PD|Indo Premier Sekuritas||
PF|Danasakti Sekuritas Indonesia||
PG|Panca Global Sekuritas||
PI|Magenta Kapital Sekuritas Indonesia||
PK|Pratama Capital Sekuritas||
PO|Pilarmas Investindo Sekuritas||
PP|Aldiracita Sekuritas Indonesia||
PS|PARAMITRA ALFA SEKURITAS||
QA|Pool Advista Sekuritas||
RB|Nikko Sekuritas Indonesia||
RF|Buana Capital Sekuritas||
RG|Profindo Sekuritas Indonesia||
RO|Nilai Inti Sekuritas||
RS|Yulie Sekuritas Indonesia Tbk.||
RX|Macquarie Sekuritas Indonesia||
SA|Elit Sukses Sekuritas||
SC|IMG Sekuritas||
SF|Surya Fajar Sekuritas||
SH|Artha Sekuritas Indonesia||
SM|SINERGI MILLENIUM SEKURITAS||
SQ|BCA Sekuritas||
SS|Supra Sekuritas Indonesia||
TA|MAGNUS Capital||
TF|Universal Broker Indonesia Sekuritas||
TP|OCBC Sekuritas Indonesia||
TS|Dwidana Sakti Sekuritas||
TX|Dhanawibawa Sekuritas Indonesia||
WW|JAKARTA SECURITIES||
XA|NH Korindo Sekuritas Indonesia||
XC|Ajaib Sekuritas Asia||
XL|Mahakarya Artha Sekuritas||
YB|Jasa Utama Capital Sekuritas||
YJ|Lotus Andalan Sekuritas||
YO|Amantara Sekuritas Indonesia||
YP|Mirae Asset Sekuritas Indonesia||
YU|CGS-CIMB Sekuritas Indonesia||
ZP|Maybank Sekuritas Indonesia||
ZR|Bumiputera Sekuritas||
ZZ|Kliring & Penjaminan Efek Ind.||
